input_id	dealiased_id	standard_id	short_id
doi:10.1146/annurev-ecolsys-120213-091917	doi:10.1146/annurev-ecolsys-120213-091917	doi:10.1146/annurev-ecolsys-120213-091917	aC7xojka
doi:10.1126/science.1064088	doi:10.1126/science.1064088	doi:10.1126/science.1064088	NfEL5Brl
doi:10.1007/s004420050035	doi:10.1007/s004420050035	doi:10.1007/s004420050035	qiGjxMrN
doi:10.1038/news.2011.498	doi:10.1038/news.2011.498	doi:10.1038/news.2011.498	MVK3yEOU
doi:10.5281/zenodo.6417333	doi:10.5281/zenodo.6417333	doi:10.5281/zenodo.6417333	2gMvO97S
doi:10.1126/science.aau0191	doi:10.1126/science.aau0191	doi:10.1126/science.aau0191	ZKWtA8aI
doi:10.1038/nbt.3597	doi:10.1038/nbt.3597	doi:10.1038/nbt.3597	dradflfa
doi:10.1021/acs.analchem.5b04804	doi:10.1021/acs.analchem.5b04804	doi:10.1021/acs.analchem.5b04804	Y25XY9UD
doi:10.3389/fpls.2019.01329	doi:10.3389/fpls.2019.01329	doi:10.3389/fpls.2019.01329	1EaGvQl0B
doi:10.7554/eLife.70780	doi:10.7554/eLife.70780	doi:10.7554/elife.70780	PYbwVCJ0
doi:10.7554/eLife.32822	doi:10.7554/eLife.32822	doi:10.7554/elife.32822	IhliSZDo
pmc:PMC6103790	pmc:PMC6103790	pmc:PMC6103790	mSMVRkoc
pubmed:30718888	pubmed:30718888	pubmed:30718888	126Wi5Us4
wikidata:Q56458321	wikidata:Q56458321	wikidata:Q56458321	QhC8yJ7V
deep-review	doi:10.1098/rsif.2017.0387	doi:10.1098/rsif.2017.0387	PZMP42Ak
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
